"ID","Manufacturer","Model","Range","Price","HP","Fast charge (min)","Type","Segment","Region","Antal","Andel"
"130","Nio","ET7","543","780381.5","643","40","Sedan","F","CH","18","0.01%"
"131","Nissan","Ariya","487","432558.95333333","238","35","SUV","C","JP","1358","0.92%"
"132","Nissan","Leaf","328","293302.53237025","147","43","Hatchback","C","JP","3367","2.27%"
"134","Opel","Combo","271","313487.125","134","26","MPV","M","DE","50","0.03%"
"135","Opel","Corsa","346","247674.62074554","154","27","Hatchback","B","DE","623","0.42%"
"136","Opel","Mokka","325","292546.81404175","154","26","SUV","B","DE","531","0.36%"
"138","Opel","Zafira","313","440116.24","134","38","MPV","M","DE","50","0.03%"
"140","Peugeot","2008","335","291057.48219442","154","26","SUV","B","FR","1045","0.71%"
"141","Peugeot","208","346","264166.33291771","154","27","Hatchback","B","FR","1610","1.09%"
"142","Peugeot","Expert","315","556087.33333333","134","38","MPV","M","FR","3","0.0%"
"144","Peugeot","Rifter","276","326897.71428571","134","26","MPV","M","FR","14","0.01%"
"145","Peugeot","Traveller","311","471939.81818182","134","38","MPV","M","FR","33","0.02%"
"149","Polestar","2","513","452777.39450628","415","28","Liftback","D","SE","4235","2.86%"
"150","Porsche","Taycan","447","1225670.0913811","402","17","Sedan","F","DE","1043","0.7%"
"156","Renault","Megane","435","352940.5145518","128","30","Hatchback","C","FR","1723","1.16%"
"158","Renault","Zoe","365","258217.38598273","134","56","Hatchback","B","FR","4560","3.08%"
"163","Seat","Mii","251","154484.9324547","81","48","Hatchback","A","SP","615","0.42%"
"164","Skoda","Citigo","256","152687","81","48","Hatchback","A","CZ","102","0.07%"
"165","Skoda","Enyaq iV","496","431949.57547803","281","28","SUV","C","CZ","6442","4.35%"
"167","Smart","Fortwo","127","207465.41666667","80","60","Hatchback","A","DE","13","0.01%"
"168","SsangYong","Korando","346","285308","187","36","SUV","C","KR","4","0.0%"
"169","Subaru","Solterra","426","421716.58","214","28","SUV","D","JP","50","0.03%"
"172","Tesla","Model 3","542","429558.85976767","278","25","Sedan","D","US","13451","9.08%"
"173","Tesla","Model S","609","917255.99398496","675","30","Liftback","F","US","4051","2.73%"
"174","Tesla","Model X","529","1089941.5456172","675","30","SUV","F","US","585","0.39%"
"175","Tesla","Model Y","506","439017.82563393","506","27","SUV","D","US","21792","14.71%"
"176","Toyota","bZ4X","470","403556.55876494","214","28","SUV","D","JP","1072","0.72%"
"178","Toyota","Proace City Verso","318","327908.46153846","134","26","MPV","M","JP","14","0.01%"
"179","Toyota","Proace Verso","303","395876.81927711","134","38","MPV","M","JP","94","0.06%"
"181","Volkswagen","Golf","230","260542.42237762","134","36","Hatchback","C","DE","840","0.57%"
"182","Volkswagen","ID.3","436","339928.86221702","201","32","Hatchback","C","DE","5227","3.53%"
"183","Volkswagen","ID.4","502","415705.70925424","281","28","SUV","C","DE","7533","5.08%"
"184","Volkswagen","ID.5","514","435906.0676819","281","28","SUV","C","DE","3022","2.04%"
"185","Volkswagen","ID.7","597","494230.70769231","281","28","Sedan","E","DE","197","0.13%"
"186","Volkswagen","ID.Buzz","412","496607.91254125","201","30","MPV","M","DE","1214","0.82%"
"187","Volkswagen","up!","256","173761.91926256","81","48","Hatchback","A","DE","1909","1.29%"
"188","Volvo","C40","466","449203.70797546","402","28","SUV","C","SE","815","0.55%"
"189","Volvo","EX30","475","368245","268","28","SUV","B","SE","4","0.0%"
"190","Volvo","XC40","457","443449.84952038","402","28","SUV","C","SE","3348","2.26%"
"192","Voyah","Free","500","504768.5","482","55","SUV","E","CH","8","0.01%"
