ID,Manufacturer,Model,Range,Price,HP,Fast charge (min),Type,Segment,Country,Count,Share,Percentage
118,MG,5,380,290090.204225352,154,42,Stationcar,C,CH,142,0.000958365110110752,0.1%
119,MG,Marvel R,388,353878.071428571,177,38,SUV,C,CH,395,0.00266587477812498,0.27%
120,MG,ZS,331,251311.061904762,154,37,SUV,B,CH,858,0.00579068496109173,0.58%
122,Mini,3-dørs,227,294481.704242424,181,27,Hatchback,B,GB,850,0.00573669256052211,0.57%
123,Mini,Cabriolet,201,485719,181,29,Cabriolet,B,GB,8,5.39924005696198E-05,0.01%
126,Nio,EL6,477,642945.166666667,482,29,SUV,E,CH,6,4.04943004272149E-05,0.0%
127,Nio,EL7,405,831840.75,643,40,SUV,F,CH,8,5.39924005696198E-05,0.01%
128,Nio,ES8,470,627851,643,30,SUV,F,CH,3,2.02471502136074E-05,0.0%
129,Nio,ET5,488,571022.380952381,482,40,Sedan,E,CH,21,0.000141730051495252,0.01%
130,Nio,ET7,543,780381.5,643,40,Sedan,F,CH,18,0.000121482901281645,0.01%
131,Nissan,Ariya,487,432558.953333333,238,35,SUV,C,JP,1358,0.00916520999669297,0.92%
132,Nissan,Leaf,328,293302.532370252,147,43,Hatchback,C,JP,3367,0.0227240515897387,2.27%
134,Opel,Combo,271,313487.125,134,26,MPV,M,DE,50,0.000337452503560124,0.03%
135,Opel,Corsa,346,247674.620745543,154,27,Hatchback,B,DE,623,0.00420465819435914,0.42%
136,Opel,Mokka,325,292546.814041746,154,26,SUV,B,DE,531,0.00358374558780852,0.36%
138,Opel,Zafira,313,440116.24,134,38,MPV,M,DE,50,0.000337452503560124,0.03%
140,Peugeot,2008,335,291057.482194418,154,26,SUV,B,FR,1045,0.00705275732440659,0.71%
141,Peugeot,208,346,264166.332917706,154,27,Hatchback,B,FR,1610,0.010865970614636,1.09%
142,Peugeot,Expert,315,556087.333333333,134,38,MPV,M,FR,3,2.02471502136074E-05,0.0%
