,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
56,0.56%,0.19%,0.23%,4.19%,0.72%,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%
57,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.02%,0.00%,0.00%,0.00%,0.00%
58,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
59,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
60,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%
61,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%
62,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%
63,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.01%,0.00%
64,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,0.09%,0.01%,0.01%
65,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%
66,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%
67,0.00%,0.00%,0.00%,0.00%,4.01%,9.77%,3.46%,1.43%,1.03%,0.00%,0.00%
68,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.08%,1.99%,1.49%
69,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.32%
70,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%,12.01%,8.15%,4.68%,2.47%,1.23%
71,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%,0.13%,0.02%,0.01%,0.00%,0.00%
72,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
73,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%
74,0.00%,0.00%,0.00%,0.00%,0.00%,0.78%,1.74%,0.86%,0.17%,0.05%,0.01%
75,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%
76,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
77,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
78,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%
79,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.04%,0.01%,0.00%,0.00%,0.00%
80,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
81,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
82,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.50%,2.60%,1.30%
83,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%
84,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.64%,5.86%,3.96%,2.24%,0.98%
85,0.00%,0.00%,0.23%,1.37%,1.29%,0.26%,0.74%,0.30%,0.25%,0.18%,0.00%
86,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
87,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.05%,0.00%
88,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%
89,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.05%,0.03%
90,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
91,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%
92,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
93,0.19%,0.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
94,0.00%,0.13%,0.00%,0.08%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%
95,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
96,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
97,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%
98,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.27%,0.29%,0.03%,0.00%
99,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.01%
100,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,0.39%
101,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
102,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
103,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.78%,0.56%,0.24%,0.60%
104,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
105,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%
106,0.00%,0.00%,0.90%,0.08%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
107,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.84%,2.39%,1.88%
108,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.97%,1.36%
109,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,1.64%,1.38%,0.91%,0.28%
110,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.47%,1.20%
111,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%
112,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.47%,0.11%
113,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.11%
114,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.27%,0.34%,0.15%
115,0.19%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.08%,0.18%,0.02%
116,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.04%,0.04%
117,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,1.18%
118,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,0.10%
119,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.55%,0.33%
120,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.03%,0.77%,0.75%,0.23%
121,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
122,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.88%,0.98%,0.64%,0.22%
123,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
124,0.19%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
125,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
126,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
127,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
128,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%
129,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%
130,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.01%
131,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.27%,1.54%
132,39.51%,36.82%,5.03%,6.47%,2.86%,41.23%,5.56%,3.98%,1.67%,0.77%,0.15%
133,0.00%,0.19%,5.40%,2.05%,1.57%,1.10%,0.43%,0.08%,0.03%,0.00%,0.00%
134,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.04%
135,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.53%,0.43%,0.50%
136,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.69%,0.34%,0.40%
137,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
138,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.06%
139,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%
140,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.56%,1.22%,0.78%,0.44%
141,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.05%,1.39%,1.89%,0.62%
142,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
143,1.69%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
144,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.02%
145,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.04%,0.01%
146,0.19%,0.26%,0.12%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
147,0.00%,0.00%,0.02%,2.13%,3.72%,1.81%,0.20%,0.10%,0.07%,0.06%,0.01%
148,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
149,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,2.94%,4.80%,3.22%
150,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.28%,1.19%,0.86%,0.25%
151,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
152,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%
153,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
154,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%
155,7.12%,0.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
156,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.26%,2.13%
157,2.62%,1.08%,0.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
158,17.23%,9.25%,7.63%,46.58%,55.36%,27.25%,10.29%,4.95%,3.89%,0.99%,0.04%
159,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.06%,0.01%,0.00%,0.00%
160,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
161,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%
162,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
163,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.40%,1.67%,0.00%,0.00%
164,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,0.06%,0.01%,0.00%
165,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.79%,7.88%,4.89%
166,0.19%,0.45%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
167,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.01%,0.01%,0.01%,0.00%
168,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
169,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.07%
170,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
171,0.00%,0.00%,0.02%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
172,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,44.18%,30.06%,7.62%,2.05%,6.70%
173,20.97%,29.48%,63.21%,5.94%,6.58%,3.04%,3.39%,1.74%,0.00%,0.10%,0.18%
174,0.00%,0.00%,0.00%,7.46%,7.44%,3.11%,1.96%,1.37%,0.00%,0.08%,0.09%
175,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.12%,7.51%,28.62%
176,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.44%,1.49%
177,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%
178,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%
179,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.14%,0.03%
180,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.01%,0.00%
181,0.00%,1.28%,2.13%,0.99%,5.15%,2.20%,0.31%,4.38%,0.01%,0.00%,0.00%
182,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.10%,6.95%,2.03%,1.83%
183,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.72%,7.53%,4.05%
184,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.56%,1.59%
185,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%
186,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,1.92%
187,5.62%,13.98%,1.83%,4.49%,6.58%,1.23%,0.42%,2.59%,3.00%,0.78%,0.13%
188,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.96%,0.82%
189,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
190,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.46%,3.31%,3.13%
191,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%
192,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
193,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%
194,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.05%,0.01%
195,0.00%,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
196,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.93%
197,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%
198,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.11%
