ID,year,Antal
37,2014,6
37,2015,2
37,2016,0
37,2017,0
37,2018,0
37,2019,0
37,2020,0
37,2021,0
37,2022,0
37,2023,0
38,2013,0
38,2014,0
38,2015,0
38,2016,1
38,2017,0
38,2018,0
38,2019,0
38,2020,0
38,2021,0
38,2022,0
38,2023,0
39,2013,0
39,2014,0
39,2015,0
39,2016,0
39,2017,1
39,2018,2
39,2019,0
39,2020,0
39,2021,0
39,2022,0
39,2023,0
40,2013,0
40,2014,0
40,2015,5
40,2016,0
40,2017,0
40,2018,0
40,2019,0
40,2020,0
40,2021,0
40,2022,0
40,2023,0
41,2013,0
41,2014,0
41,2015,0
41,2016,2
41,2017,0
41,2018,7
41,2019,1
41,2020,0
41,2021,0
41,2022,0
41,2023,0
42,2013,0
42,2014,0
42,2015,0
42,2016,0
42,2017,0
42,2018,1
42,2019,2
42,2020,1
42,2021,0
42,2022,0
42,2023,0
43,2013,0
43,2014,0
43,2015,0
43,2016,0
43,2017,0
43,2018,0
43,2019,2
43,2020,6
43,2021,1
43,2022,0
43,2023,0
44,2013,1
44,2014,4
44,2015,0
44,2016,0
44,2017,0
44,2018,4
44,2019,0
44,2020,2
44,2021,4
44,2022,0
44,2023,0
45,2013,0
45,2014,0
45,2015,0
45,2016,0
45,2017,0
45,2018,0
45,2019,0
45,2020,1
45,2021,0
45,2022,0
45,2023,1
46,2013,0
46,2014,0
46,2015,0
46,2016,0
46,2017,0
46,2018,0
46,2019,0
46,2020,0
46,2021,4
46,2022,3
46,2023,8
47,2013,0
47,2014,0
47,2015,0
47,2016,0
47,2017,0
47,2018,0
47,2019,0
47,2020,84
47,2021,677
47,2022,299
47,2023,216
48,2013,0
48,2014,0
48,2015,0
48,2016,0
48,2017,0
48,2018,0
48,2019,0
48,2020,1
48,2021,0
48,2022,0
48,2023,0
49,2013,0
49,2014,0
49,2015,0
49,2016,0
49,2017,0
49,2018,0
49,2019,0
49,2020,0
49,2021,0
49,2022,0
49,2023,290
50,2013,0
50,2014,0
50,2015,0
50,2016,0
50,2017,0
50,2018,0
50,2019,0
50,2020,1
50,2021,1066
50,2022,1247
50,2023,1338
51,2013,0
51,2014,2
51,2015,2
51,2016,0
51,2017,0
51,2018,0
51,2019,0
51,2020,0
51,2021,0
51,2022,0
51,2023,0
52,2013,0
52,2014,0
52,2015,0
52,2016,0
52,2017,0
52,2018,0
52,2019,0
52,2020,2
52,2021,2
52,2022,0
52,2023,0
53,2013,0
53,2014,0
53,2015,0
53,2016,0
53,2017,0
53,2018,0
53,2019,2
53,2020,3
53,2021,1
53,2022,1
53,2023,2
54,2013,0
54,2014,0
54,2015,0
54,2016,0
54,2017,0
54,2018,0
54,2019,1
54,2020,1
54,2021,0
54,2022,1
54,2023,3
55,2013,0
55,2014,0
55,2015,6
55,2016,6
55,2017,4
55,2018,4
55,2019,0
